route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1039B,HSL,39B,Kamppi-Munkkiniemi-Konala (teollisuusalue),,701,http://aikataulut.hsl.fi/linjat/fi/s39_39b.html
1039N,HSL,39N,Asema-aukio-Munkkiniemi-Konala-Malminkartano-Honkasuo,,701,http://aikataulut.hsl.fi/linjat/fi/h39n.html
1040,HSL,40,Elielinaukio-Pohjois-Haagan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b40.html
1041,HSL,41,Kamppi-Haaga-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b41.html
1042,HSL,42,Kamppi-Maununneva-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b42.html
1043,HSL,43,Elielinaukio-Kannelmäki-Hakuninmaa,,701,http://aikataulut.hsl.fi/linjat/fi/b43.html
1050,HSL,50,Herttoniemi(M)-Pasila-Ilmala-Suursuo,,701,http://aikataulut.hsl.fi/linjat/fi/b50.html
1051,HSL,51,Hakaniemi-Maunula-Malminkartano,,701,http://aikataulut.hsl.fi/linjat/fi/b51.html
1052,HSL,52,Arabia-Oulunkylä-Munkkiniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b52.html
1054,HSL,54,Itäkeskus(M)- Pitäjänmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b54.html
1055,HSL,55,Rautatientori-Koskela,,701,http://aikataulut.hsl.fi/linjat/fi/b55.html
1056,HSL,56,Kalasatama(M)-Käpylä-Kannelmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b56.html
1057,HSL,57,Kontula(M) - Viikki - Koskela - Ruskeasuo - Munkkiniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b57.html
1058,HSL,58,Itäkeskus(M)-Pasila-Munkkivuori,,701,http://aikataulut.hsl.fi/linjat/fi/h58_58b.html
1058B,HSL,58B,Itäkeskus(M)-Pasila-Meilahden klinikat,,701,http://aikataulut.hsl.fi/linjat/fi/h58_58b.html
1059,HSL,59,Herttoniemi(M)-Pasila-Pajamäki,,701,http://aikataulut.hsl.fi/linjat/fi/b59.html
1061,HSL,61,Rautatientori-Pukinmäki-Siltamäki,,701,http://aikataulut.hsl.fi/linjat/fi/b61.html
1061N,HSL,61N,Rautatientori-Pukinmäki-Töyrynummi,,701,http://aikataulut.hsl.fi/linjat/fi/b61N.html
1061T,HSL,61T,Rautatientori-Pukinmäki-Tapaninkylä,,701,http://aikataulut.hsl.fi/linjat/fi/b61T.html
1063,HSL,63,Kamppi-Ruskeasuo-Maunula-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b63.html
1064,HSL,64,Rautatientori-Oulunkylä-Itä-Pakila,,701,http://aikataulut.hsl.fi/linjat/fi/b64.html
1065,HSL,65,Rautatientori-Käpylä-Veräjälaakso,,701,http://aikataulut.hsl.fi/linjat/fi/h65.html
1066,HSL,66,Rautatientori-Maunula-Länsi-Pakila-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b66.html
1066K,HSL,66K,Rautatientori-Metsälä-Maunula-Länsi-Pakila-Paloheinä,,701,http://aikataulut.hsl.fi/linjat/fi/b66K.html
1067,HSL,67,Rautatientori-Maunula-Pakila-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67.html
1067N,HSL,67N,Rautatientori-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67N.html
1067V,HSL,67V,Rautatientori-Torpparinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b67V.html
1069,HSL,69,Kamppi-Pasila-Käpylä-Malmi-Jakomäki,,701,http://aikataulut.hsl.fi/linjat/fi/b69.html
1070,HSL,70,Kamppi-Töölö-Pihlajamäki-Pukinmäki-Malmi,,701,http://aikataulut.hsl.fi/linjat/fi/b70.html
1071,HSL,71,Rautatientori-Pihlajisto-Pihlajamäki-Malmi,,701,http://aikataulut.hsl.fi/linjat/fi/b71.html
1071B,HSL,71B,Rautatientori-Arabia- Pihlajisto-Viikki,,701,http://aikataulut.hsl.fi/linjat/fi/b71B.html
1073,HSL,73,Hakaniemi-Malmi-Puistolan as.-Ala-Tikkurila,,701,http://aikataulut.hsl.fi/linjat/fi/b73.html
1073N,HSL,73N,Rautatientori-Malmi-Puistolan asema-Ala-Tikkurila,,701,http://aikataulut.hsl.fi/linjat/fi/h73n.html
1074,HSL,74,Hakaniemi-Malmi-Tapanila-Puistola-Heikinlaakso,,701,http://aikataulut.hsl.fi/linjat/fi/b74.html
1074N,HSL,74N,Rautatientori-Malmi-Tapanila-Puistola-Heikinlaakso,,701,http://aikataulut.hsl.fi/linjat/fi/h74n.html
1075,HSL,75,Rautatientori-Jakomäki-Puistolan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b75.html
1077,HSL,77,Rautatientori-Tattarisuo-Jakomäki,,701,http://aikataulut.hsl.fi/linjat/fi/h77.html
1077N,HSL,77N,Rautatientori-Arabia-Malmi-Jakomäki,,701,http://aikataulut.hsl.fi/linjat/fi/b77N.html
1078,HSL,78,Rautatientori-Viikki-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b78.html
1078N,HSL,78N,Rautatientori-Viikki-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b78N.html
1079,HSL,79,Herttoniemi (M)-Latokartano-Malmi-Siltamäki-Puistolan asem,,701,http://aikataulut.hsl.fi/linjat/fi/b79.html
1079B,HSL,79B,Siilitie (M)-Latokartano,,701,http://aikataulut.hsl.fi/linjat/fi/b79B.html
1079N,HSL,79N,Rautatientori-Malmi-Siltamäki-Puistolan asema,,701,http://aikataulut.hsl.fi/linjat/fi/b79N.html
1080,HSL,80,Herttoniemi(M)-Roihuvuori-Roihupelto,,701,http://aikataulut.hsl.fi/linjat/fi/b80.html
1081,HSL,81,Kulosaari-Herttoniemi(M)-Länsi-Herttoniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b81.html
1082,HSL,82,Herttoniemi(M)-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/h82_82b.html
1082B,HSL,82B,Herttoniemi(M)-Tammisalo-Roihuvuori-Itäkeskus(M),,701,http://aikataulut.hsl.fi/linjat/fi/h82_82b.html
1083,HSL,83,Herttoniemi(M)-Tammisalo,,701,http://aikataulut.hsl.fi/linjat/fi/b83.html
1084,HSL,84,Herttoniemi(M)-Gunillankallio,,701,http://aikataulut.hsl.fi/linjat/fi/b84.html
1085,HSL,85,Herttoniemi(M)-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/h85_85b.html
1085B,HSL,85B,Herttoniemi(M)-Yliskylä-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/h85_85b.html
1085N,HSL,85N,Rautatientori-Herttoniemenranta-Yliskylä-Jollas,,701,http://aikataulut.hsl.fi/linjat/fi/h85n.html
1086,HSL,86,Herttoniemi(M)-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/b86.html
1086N,HSL,86N,Rautatientori-Kulosaari-Herttoniemi-Santahamina,,701,http://aikataulut.hsl.fi/linjat/fi/h86n.html
1088,HSL,88,Herttoniemi(M) - Kaitalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b88.html
1089,HSL,89,Herttoniemi(M)-Yliskylä,,701,http://aikataulut.hsl.fi/linjat/fi/b89.html
1090,HSL,90,Vuosaari(M)-Aurinkolahti-Vuosaaren satama,,701,http://aikataulut.hsl.fi/linjat/fi/b90.html
1090A,HSL,90A,Rautatientori-Vuosaaren satama,,701,http://aikataulut.hsl.fi/linjat/fi/h90a.html
1090N,HSL,90N,Rautatientori-Länsi-Herttoniemi-Vuosaari (Kallvikintie),,701,http://aikataulut.hsl.fi/linjat/fi/h90n.html
1091,HSL,91,Rapuojantie-Östersundom-Puroniitty,,701,http://aikataulut.hsl.fi/linjat/fi/b91.html
1091K,HSL,91K,Rapuojantie-Östersundom-Puroniitty,,701,http://aikataulut.hsl.fi/linjat/fi/b91K.html
1092,HSL,92,Itäkeskus(M)-Myllypuro,,701,http://aikataulut.hsl.fi/linjat/fi/b92.html
1092N,HSL,92N,Rautatientori-Myllypuro-Kivikko-Kontula (Keinutie),,701,http://aikataulut.hsl.fi/linjat/fi/h92n.html
1093,HSL,93,Itäkeskus(M)-Östersundom-Landbo,,701,http://aikataulut.hsl.fi/linjat/fi/b93.html
1093K,HSL,93K,Itäkeskus(M)-Östersundom-Karhusaari-Landbo,,701,http://aikataulut.hsl.fi/linjat/fi/b93K.html
1094,HSL,94,Itäkeskus(M)-Porttitie-Kontula(M)-Kontulankaari,,701,http://aikataulut.hsl.fi/linjat/fi/h94.html
1094A,HSL,94A,Kotikonnuntie-Kontula(M)-Kivikko-Kontula(M),,701,http://aikataulut.hsl.fi/linjat/fi/h94a.html
1094B,HSL,94B,Kivikonlaita-Kontula(M),,701,http://aikataulut.hsl.fi/linjat/fi/h94b.html
1094N,HSL,94N,Rautatientori-Roihuvuori-Kontulankaari,,701,http://aikataulut.hsl.fi/linjat/fi/h94n.html
1095,HSL,95,Itäkeskus(M)-Mellunmäki(M)-Kontula(M)-Keinutie,,701,http://aikataulut.hsl.fi/linjat/fi/b95.html
1095N,HSL,95N,Rautatientori-Tammisalo-Roihuv.-Mellunmäki-Länsimäki,,701,http://aikataulut.hsl.fi/linjat/fi/h95n.html
1096,HSL,96,Vuosaari(M)-Porslahdentie,,701,http://aikataulut.hsl.fi/linjat/fi/b96.html
1096N,HSL,96N,Rautatientori-Aurinkolahti-Vuosaari(Porslahdentie),,701,http://aikataulut.hsl.fi/linjat/fi/h96n.html
1097,HSL,97,Itäkeskus(M)-Vartioharju-Mellunmäki(M),,701,http://aikataulut.hsl.fi/linjat/fi/h97_97v.html
1097N,HSL,97N,Rautatient.-Puotila-Mellunmäki-Kontula (Kotikonnuntie),,701,http://aikataulut.hsl.fi/linjat/fi/h97n.html
1097V,HSL,97V,Itäkeskus(M)-Puotila-Vartioharju-Mellunmäki(M),,701,http://aikataulut.hsl.fi/linjat/fi/h97_97v.html
1098,HSL,98,Itäkeskus(M)-Marjaniemi-Rastila(M),,701,http://aikataulut.hsl.fi/linjat/fi/b98.html
1506,HSL,506,Myllypuro(M)-Viikki-Kumpula-Pasila-Meilahti,,701,http://aikataulut.hsl.fi/linjat/fi/b506.html
1554,HSL,554,Itäkeskus-Malmi-Tapaninkylä,,701,http://aikataulut.hsl.fi/linjat/fi/b554.html
1603,HSL,603,Malmi-Oulunkylä-Koskela-Käpylä-Maunula-Pakila-Paloheinä,,704,http://aikataulut.hsl.fi/linjat/fi/b603.html
1701,HSL,701,Viikki-Pihlajamäki-Malmi-Suutarila-Siltamäki,,704,http://aikataulut.hsl.fi/linjat/fi/b701.html
1702,HSL,702,Jakomäki-Puistola-Malmi-Tapaninvainio-Savela,,704,http://aikataulut.hsl.fi/linjat/fi/b702.html
1704,HSL,704,Malmi-Sepänmäki,,704,http://aikataulut.hsl.fi/linjat/fi/b704.html
1801,HSL,801,Itäkeskus-Varjakanvalkama,,704,http://aikataulut.hsl.fi/linjat/fi/b801.html
1802,HSL,802,Itäkeskus(M)-Jollas,,704,http://aikataulut.hsl.fi/linjat/fi/b802.html
1805,HSL,805,Itäkeskus(M)-Myllypuro,,704,http://aikataulut.hsl.fi/linjat/fi/b805.html
1811,HSL,811,Kivikko-Kontula-Mellunmäki-Länsimäki-Rajakylä,,704,http://aikataulut.hsl.fi/linjat/fi/b811.html
1811B,HSL,811B,Kivikko-Kontula-Mellunmäki,,704,http://aikataulut.hsl.fi/linjat/fi/b811B.html
1811K,HSL,811K,Mellunmäki-Länsimäki-Rajakylä,,704,http://aikataulut.hsl.fi/linjat/fi/b811K.html
1812,HSL,812,Mellunmäki-Myllypuro,,704,http://aikataulut.hsl.fi/linjat/fi/b812.html
1813,HSL,813,Vuosaari(M)-Pohjoinen ostoskeskus,,704,http://aikataulut.hsl.fi/linjat/fi/b813.html
1814,HSL,814,Vuosaari(M)-Koukkusaarentie,,704,http://aikataulut.hsl.fi/linjat/fi/b814.html
1815,HSL,815,Vuosaari(M)-Isonvillasaarentie,,704,http://aikataulut.hsl.fi/linjat/fi/b815.html
1816,HSL,816,Vuosaari(M)-Ramsinniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b816.html
1817,HSL,817,Vuosaari(M)-Kallahti,,704,http://aikataulut.hsl.fi/linjat/fi/b817.html
1818,HSL,818,Vuosaari (M)-Vuosaaren satama-Mellunmäki (M),,701,http://aikataulut.hsl.fi/linjat/fi/b818.html
1819,HSL,819,Vuosaari(M)-Uutela,,704,http://aikataulut.hsl.fi/linjat/fi/b819.html
2038,HSL,38,Elielinaukio-Pitäjänmäki-Uusmäki,,701,http://aikataulut.hsl.fi/linjat/fi/e38.html
2111,HSL,111,Otaniemi-Tapiola(M)-Westend-Matinkylä(M)-Hyljelahti,,701,http://aikataulut.hsl.fi/linjat/fi/b111.html
2112,HSL,112,Tapiola (M)-Niittykumpu-Haukilahti-Matinkylä (M),,701,http://aikataulut.hsl.fi/linjat/fi/b112.html
2112N,HSL,112N,Kamppi-Lauttasaari (M)-Westend-Matinkylä(M)-Friisilä,,701,http://aikataulut.hsl.fi/linjat/fi/b112N.html
2113,HSL,113,Tapiola (M)-Laajalahti-Perkkaa-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b113.html
2113N,HSL,113N,Kamppi-Tapiola (M)-Laajalahti-Perkkaa-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b113N.html
2114,HSL,114,Tapiola(M)-Urheilupuisto(M)-Mankkaa-Kilo-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b114.html
2114N,HSL,114N,Kamppi-Leppävaara,,701,http://aikataulut.hsl.fi/linjat/fi/b114N.html
2115,HSL,115,Tapiola (M)-Mankkaa,,701,http://aikataulut.hsl.fi/linjat/fi/b115.html
2115A,HSL,115A,Lauttasaari (M)-Tapiola (M)-Mankkaa,,701,http://aikataulut.hsl.fi/linjat/fi/b115A.html
2116,HSL,116,Tapiola-Pohjois-Tapiola,,704,http://aikataulut.hsl.fi/linjat/fi/b116.html
2117,HSL,117,Tapiola-Aarnivalkea-Itäranta-Tapiola,,704,http://aikataulut.hsl.fi/linjat/fi/b117.html
2118,HSL,118,Tapiola (M)-Suurpelto-Espoon keskus-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b118.html
2118B,HSL,118B,Tapiola (M)-Suurpelto,,701,http://aikataulut.hsl.fi/linjat/fi/b118B.html
2118N,HSL,118N,Kamppi-Tapiola (M)-Suurpelto-Kauniainen-Jorvi,,701,http://aikataulut.hsl.fi/linjat/fi/b118N.html
2119,HSL,119,Tapiola-Niittykumpu,,704,http://aikataulut.hsl.fi/linjat/fi/b119.html
2124,HSL,124,Tapiola (M)-Niittykumpu (M)-Espoonlahti-Tillinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b124.html
2125,HSL,125,Tapiola(M)-Niittykumpu (M)-Olari-Nöykkiö-Espoonlahti,,701,http://aikataulut.hsl.fi/linjat/fi/b125.html
2125B,HSL,125B,Tapiola(M)-Niittykumpu (M)-Olari,,701,http://aikataulut.hsl.fi/linjat/fi/b125B.html
2125N,HSL,125N,Kamppi-Tapiola (M)-Niittykumpu (M)-Olari- Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b125N.html
2133,HSL,133,Friisilä-Matinkylä (M)-Henttaa,,701,http://aikataulut.hsl.fi/linjat/fi/b133.html
2134,HSL,134,Matinkylä(M)-Espoon keskus-Suvela-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b134.html
2134N,HSL,134N,Kamppi-Niittykumpu (M)-Espoon keskus-Suvela-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b134N.html
2136,HSL,136,Matinkylä(M)-Espoon keskus-Suna-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b136.html
2137,HSL,137,Tynnyripuisto-Matinkallio-Piispankylä-Kuitinmäki,,704,http://aikataulut.hsl.fi/linjat/fi/b137.html
2138,HSL,138,Tynnyripuisto-Nuottaniemi-Matinkallio,,704,http://aikataulut.hsl.fi/linjat/fi/b138.html
2143,HSL,143,Matinkylä (M)-Soukanniemi,,701,http://aikataulut.hsl.fi/linjat/fi/b143.html
2145,HSL,145,Matinkylä (M)-Soukka-Suvisaaristo,,701,http://aikataulut.hsl.fi/linjat/fi/b145.html
2146,HSL,146,Matinkylä (M)-Espoonlahti-Kivenlahti,,701,http://aikataulut.hsl.fi/linjat/fi/b146.html
2146N,HSL,146N,Kamppi-Kivenlahti-Saunalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b146N.html
2147,HSL,147,Matinkylä (M)-Iivisniemi-Soukka-Laurinlahti-Kivenlahti,,701,http://aikataulut.hsl.fi/linjat/fi/b147.html
2147N,HSL,147N,Kamppi-Kivenlahti,,701,http://aikataulut.hsl.fi/linjat/fi/b147N.html
2148,HSL,148,Espoonlahden keskus-Soukka-Iivisniemi,,704,http://aikataulut.hsl.fi/linjat/fi/b148.html
2149,HSL,149,Espoonlahden keskus-Kivenlahti,,704,http://aikataulut.hsl.fi/linjat/fi/b149.html
2157,HSL,157,Matinkylä (M)-Suomenoja-Latokaski,,701,http://aikataulut.hsl.fi/linjat/fi/b157.html
2158,HSL,158,Matinkylä (M)-Nöykkiö-Tillinmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b158.html
2164,HSL,164,Matinkylä (M)-Kivenlahti-Saunalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b164.html
2164V,HSL,164V,Matinkylä (M)-Kivenlahti-Saunalahti,,701,http://aikataulut.hsl.fi/linjat/fi/b164V.html
2165,HSL,165,Matinkylä (M)-Kivenlahti-Saunalahti-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b165.html
2165N,HSL,165N,Kamppi-Saunalahti-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b165N.html
2166,HSL,166,Vanttila-Kauklahti-Lasilaakso,,701,http://aikataulut.hsl.fi/linjat/fi/e166b.html
2167,HSL,167,Vanttila-Kauklahti-Järvikylä,,701,http://aikataulut.hsl.fi/linjat/fi/b167.html
2168,HSL,168,Espoon keskus-Mikkelä-Kauklahti,,704,http://aikataulut.hsl.fi/linjat/fi/b168.html
2169,HSL,169,Espoon keskus-Suvela,,704,http://aikataulut.hsl.fi/linjat/fi/b169.html
2201,HSL,201,Leppävaara-Mäkkylä-Pitäjänmäki- Pajamäki,,704,http://aikataulut.hsl.fi/linjat/fi/b201.html
2201B,HSL,201B,Leppävaara-Mäkkylä-Pitäjänmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b201b.html
2202,HSL,202,Leppävaara-Helmipöllönmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b202.html
2203,HSL,203,Laajalahti-Nuijala-Leppävaara-Uusmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b203.html
2203N,HSL,203N,Nuijala-Leppävaara-Uusmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b203N.html
2203V,HSL,203V,Leppävaara-Uusmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b203V.html
2206,HSL,206,Kamppi-Meilahti-Etelä-Leppävaara-Kera,,701,http://aikataulut.hsl.fi/linjat/fi/b206.html
2206A,HSL,206A,Kamppi-Meilahti-Etelä-Leppävaara-Kilo-Karakallio-Kera,,701,http://aikataulut.hsl.fi/linjat/fi/b206A.html
2207,HSL,207,Leppävaara-Lintukorpi,,704,http://aikataulut.hsl.fi/linjat/fi/b207.html
2212,HSL,212,Kamppi-Meilahti-Laajalahti-Kauniainen,,701,http://aikataulut.hsl.fi/linjat/fi/b212.html
2213,HSL,213,Kamppi-Meilahti-Suvela-Espoon keskus-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b213.html
2213N,HSL,213N,Kamppi-Meilahti-Laajalahti-Suvela-Espoon keskus-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b213N.html
2214,HSL,214,Leppävaara-Rastaala-Veini-Jupperi,,701,http://aikataulut.hsl.fi/linjat/fi/b214.html
2214T,HSL,214T,Leppävaara-Karakallio-Rastaala-Veini-Jupperi,,701,http://aikataulut.hsl.fi/linjat/fi/b214T.html
2215,HSL,215,Leppävaara-Jupperi-Lähderanta,,701,http://aikataulut.hsl.fi/linjat/fi/b215.html
2215A,HSL,215A,Leppävaara-Jupperi-Lähderanta-Högnäs,,701,http://aikataulut.hsl.fi/linjat/fi/b215A.html
2217,HSL,217,Elielinaukio-Leppävaara-Karamalmi-Lähderanta-Jupperi,,701,http://aikataulut.hsl.fi/linjat/fi/b217.html
2218,HSL,218,Elielinaukio-Leppävaara-Lähderanta-Jupperi,,701,http://aikataulut.hsl.fi/linjat/fi/b218.html
2219,HSL,219,Leppävaara-Karakallio-Lähderanta-Järvenperä,,701,http://aikataulut.hsl.fi/linjat/fi/b219.html
2224,HSL,224,Leppävaara-Kauniainen-Espoon keskus-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b224.html
2226,HSL,226,Leppävaara-Karakallio-Viherlaakso-Jorvi,,701,http://aikataulut.hsl.fi/linjat/fi/b226.html
2226A,HSL,226A,Leppävaara-Karakallio-Viherlaakso-Jorvi-Kellonummi,,701,http://aikataulut.hsl.fi/linjat/fi/b226A.html
2227,HSL,227,Leppävaara-Karakallio-Lippajärvi-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b227.html
2227N,HSL,227N,Leppävaara-Karakallio-Lippajärvi-Jorvi,,701,http://aikataulut.hsl.fi/linjat/fi/b227N.html
2227V,HSL,227V,Leppävaara-Lippajärvi-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b227V.html
